"","V1","V2","V3","V4","V5"
"1",51.7023851368315,51.7764986205167,52.5813244047619,56.6537092701695,54.7611407468199
"2",53.303847774189,52.6728532647521,53.0838343881857,57.0796228263532,55.046117671648
"3",54.4852710646636,54.3240329218107,53.9924050632911,57.7281407035176,55.347974413646
"4",57.4696021629973,57.6128075954272,55.1035140411473,58.5829555640927,55.6551184525103
"5",60.4937346004928,61.2893821940334,56.5849257585539,60.0421155094095,56.2333038282806
"6",65.6085662211422,63.6326573062923,58.2848637389342,60.586218550507,57.2979752530934
"7",74.7604631217839,65.0497747747748,60.0717708723325,60.9215568862275,58.5297042573936
"8",92.0640990371389,64.3611090974991,62.3269328635741,61.0765541740675,59.0109492133882
"9",80.2382470119522,63.5898805021933,63.153216374269,61.1116292458261,59.1040206185567
"10",73.0150531617236,63.0890534449453,62.9172822998496,NA,59.2616369317609
"11",68.8964784195834,62.5914604948124,62.6913649447054,NA,59.3989956675857
"12",66.6046096456168,NA,62.4035991531404,NA,NA
"13",64.89816292727,NA,62.1959304983996,NA,NA
"14",63.6802158273381,NA,62.0872148346956,NA,NA
"15",63.1133755799479,NA,62.0646023765996,NA,NA
