"","V1","V2","V3","V4","V5"
"1",0.0728330509419553,0.0730107032262109,0.0749824561322939,0.0833244917389253,0.0943986164664373
"2",0.0671238978750105,0.0651929240021242,0.0711931537761015,0.082426734072709,0.0931474287232617
"3",0.0590054219117755,0.058360083985303,0.067885949426417,0.081260269810906,0.0918083520837342
"4",0.0526232733260253,0.0525812033694014,0.0648882307055161,0.0808992179805608,0.0905659532301937
"5",0.0455879970635325,0.0461388234796322,0.0619997276433413,0.0818099733004628,0.0898759635002426
"6",0.038194250817549,0.0432779780097903,0.0593787817243865,0.085594111962946,0.090077984174674
"7",0.0308303284395126,0.0510747664652715,0.0567481804055508,0.0881578858895656,0.0955438423852789
"8",0.0236718574091254,0.0628033540026599,0.0563104866281655,0.0912119631442037,0.0988339287366397
"9",0.0356149858098017,0.0743417513830536,0.061110971073351,0.0938580024925193,0.101383290298968
"10",0.0461471172205556,0.086630953365542,0.0665681641814987,NA,0.103969681911389
"11",0.0567388963672038,0.0970826938461519,0.0731804508149597,NA,0.106679117978703
"12",0.0663058326255768,NA,0.0781856615686091,NA,NA
"13",0.0762155355797222,NA,0.0841892070705674,NA,NA
"14",0.0876566716060041,NA,0.0899983890192455,NA,NA
"15",0.0986288310666419,NA,0.0960569756056898,NA,NA
