V_s[V],V_o[V]
1.0045,-13.8514
0.8041,-13.8489
0.7036,-13.7877
0.6037,-12.1156
0.4039,-8.1078
0.2042,-4.1014
-0.0015,0.0283
-0.1998,4.0096
-0.4041,8.1094
-0.6039,12.1194
-0.7038,14.1211
-0.7512,14.8084
-0.8043,14.8087
-1.0045,14.8075
