F[kHz],G[dB]
1.0001,19.87523085
10,19.86979799
20,19.8734364
29.9999,19.86708704
39.9999,19.85506399
49.9999,19.86552653
59.9772,19.86259832
70.0355,19.86957637
79.9075,19.86520266
89.9658,19.87446522
100.024,19.86866623
