T[kg*m],N[rmp],,T[kg*m],N[rmp],,T[kg*m],N[rmp]
0.052052595,2017,,0.054006049,1958,,0.0558015,1895
0.045626917,2041,,0.04839293,1981,,0.050287903,1916
0.042457433,2064,,0.043081618,2000,,0.044890921,1934
0.037308626,2090,,0.037904379,2022,,0.03962208,1955
0.031739926,2113,,0.032522412,2046,,0.033999693,1976
0.026518221,2136,,0.027369544,2066,,0.028329398,1996
0.021146852,2164,,0.021895592,2090,,0.022737967,2016
0.015822879,2194,,0.016421663,2114,,0.017017351,2040
