N[rmp],P[W],,N[rmp],P[W],,N[rmp],P[W]
2017,2280.08906,,1958,2723.852,,1895,3157.932
2041,2328.11484,,1981,2759.12754,,1916,3208.1456
2064,2355.1152,,2000,2826.2527,,1934,3266.93961
2090,2372.28794,,2022,2837.191,,1955,3304.7124
2113,2397.4808,,2046,2880.71194,,1976,3361.176
2136,2435.647,,2066,2930.515,,1996,3400.558
2164,2453.8272,,2090,2964.552,,2016,3457.6752
2194,2487.9382,,2114,3004.5268,,2040,3443.924
