N[rmp],T[kg*m],,N[rmp],T[kg*m],,N[rmp],T[kg*m]
2017,0.052052595,,1958,0.054006049,,1895,0.0558015
2041,0.045626917,,1981,0.04839293,,1916,0.050287903
2064,0.042457433,,2000,0.043081618,,1934,0.044890921
2090,0.037308626,,2022,0.037904379,,1955,0.03962208
2113,0.031739926,,2046,0.032522412,,1976,0.033999693
2136,0.026518221,,2066,0.027369544,,1996,0.028329398
2164,0.021146852,,2090,0.021895592,,2016,0.022737967
2194,0.015822879,,2114,0.016421663,,2040,0.017017351
