V_s[V],V_o[V]
0.5059,0.5058
3.0094,3.0093
6.0047,6.0047
9.0051,9.0052
12.0081,12.008
14.0074,14.0072
14.5065,14.5063
14.9067,14.9358
15.0042,14.996
,
,
,
,
